"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.97316301288284,"srs","1"
"2",2,0,1,5,4.97539510403959,"srs","1"
"3",3,0,1,5,4.97432370028435,"srs","1"
"4",4,0,1,5,4.97360943111419,"srs","1"
"5",5,0,1,5,4.97468083486943,"srs","1"
"6",6,0,1,5,4.97182375818879,"srs","1"
"7",7,0,1,5,4.9729844455903,"srs","1"
"8",8,0,1,5,4.97494868580824,"srs","1"
"9",9,0,1,5,4.97423441663808,"srs","1"
"10",10,0,1,5,4.9747701185157,"srs","1"
"11",1,0,1,10,9.94135150957832,"srs","1"
"12",2,0,1,10,9.93751231278871,"srs","1"
"13",3,0,1,10,9.94519070636793,"srs","1"
"14",4,0,1,10,9.94278004791864,"srs","1"
"15",5,0,1,10,9.93920870206784,"srs","1"
"16",6,0,1,10,9.94286933156491,"srs","1"
"17",7,0,1,10,9.94215506239475,"srs","1"
"18",8,0,1,10,9.94313718250372,"srs","1"
"19",9,0,1,10,9.94411930261269,"srs","1"
"20",10,0,1,10,9.93867300019022,"srs","1"
"21",1,0,1,20,19.8802284450648,"srs","1"
"22",2,0,1,20,19.8777285029693,"srs","1"
"23",3,0,1,20,19.8783534884932,"srs","1"
"24",4,0,1,20,19.8831748053917,"srs","1"
"25",5,0,1,20,19.8697822584512,"srs","1"
"26",6,0,1,20,19.8754964118125,"srs","1"
"27",7,0,1,20,19.8785320557857,"srs","1"
"28",8,0,1,20,19.8816569834051,"srs","1"
"29",9,0,1,20,19.8814784161126,"srs","1"
"30",10,1,0,20,19.8762999646289,"srs","1"
"31",1,1,0,40,39.7523574463228,"srs","1"
"32",2,1,0,40,39.75075034069,"srs","1"
"33",3,1,0,40,39.7535181337243,"srs","1"
"34",4,1,0,40,39.7483396822407,"srs","1"
"35",5,1,0,40,39.7478039803631,"srs","1"
"36",6,1,0,40,39.7587858688543,"srs","1"
"37",7,1,0,40,39.7546788211259,"srs","1"
"38",8,1,0,40,39.7516431771527,"srs","1"
"39",9,1,0,40,39.7499467878735,"srs","1"
"40",10,1,0,40,39.753071715493,"srs","1"
"41",1,1,0,80,79.4834907528371,"srs","1"
"42",2,1,0,80,79.4964368815463,"srs","1"
"43",3,1,0,80,79.5017939003225,"srs","1"
"44",4,1,0,80,79.4929548193418,"srs","1"
"45",5,1,0,80,79.493044102988,"srs","1"
"46",6,1,0,80,79.4920619828791,"srs","1"
"47",7,1,0,80,79.5054545298196,"srs","1"
"48",8,1,0,80,79.4905441608925,"srs","1"
"49",9,1,0,80,79.5025081694927,"srs","1"
"50",10,1,0,80,79.4878656515044,"srs","1"
"51",1,1,0,100,99.3699051374984,"srs","1"
"52",2,1,0,100,99.3649945369535,"srs","1"
"53",3,1,0,100,99.3617803256878,"srs","1"
"54",4,1,0,100,99.36053035464,"srs","1"
"55",5,1,0,100,99.364815969661,"srs","1"
"56",6,1,0,100,99.3658873734162,"srs","1"
"57",7,1,0,100,99.3639231331983,"srs","1"
"58",8,1,0,100,99.377404963785,"srs","1"
"59",9,1,0,100,99.3742800361656,"srs","1"
"60",10,1,0,100,99.3789227857716,"srs","1"
"61",1,0,1,5,4.97441298393062,"strs","1"
"62",2,0,1,5,4.9747701185157,"strs","1"
"63",3,0,1,5,4.97869859895158,"strs","1"
"64",4,0,1,5,4.97494868580824,"strs","1"
"65",5,0,1,5,4.97664507508737,"strs","1"
"66",6,0,1,5,4.97200232548133,"strs","1"
"67",7,0,1,5,4.97450226757689,"strs","1"
"68",8,0,1,5,4.97334158017538,"strs","1"
"69",9,0,1,5,4.97307372923657,"strs","1"
"70",10,0,1,5,4.97485940216197,"strs","1"
"71",1,0,1,10,9.94090509134697,"strs","1"
"72",2,0,1,10,9.9426014806261,"strs","1"
"73",3,0,1,10,9.9461728264769,"strs","1"
"74",4,0,1,10,9.94144079322459,"strs","1"
"75",5,1,0,10,9.94501213907539,"strs","1"
"76",6,0,1,10,9.94126222593205,"strs","1"
"77",7,0,1,10,9.94286933156491,"strs","1"
"78",8,0,1,10,9.93590520715584,"strs","1"
"79",9,0,1,10,9.94286933156491,"strs","1"
"80",10,0,1,10,9.94188721145594,"strs","1"
"81",1,1,0,20,19.8806748632962,"strs","1"
"82",2,0,1,20,19.8793356086021,"strs","1"
"83",3,1,0,20,19.8750499935812,"strs","1"
"84",4,0,1,20,19.8796927431872,"strs","1"
"85",5,0,1,20,19.8761213973364,"strs","1"
"86",6,1,0,20,19.8754964118125,"strs","1"
"87",7,1,0,20,19.8717464986692,"strs","1"
"88",8,1,0,20,19.8764785319215,"strs","1"
"89",9,1,0,20,19.8738000225334,"strs","1"
"90",10,0,1,20,19.8765678155678,"strs","1"
"91",1,1,0,40,39.7536967010169,"strs","1"
"92",2,1,0,40,39.7551252393572,"strs","1"
"93",3,1,0,40,39.7539645519557,"strs","1"
"94",4,1,0,40,39.7460183074377,"strs","1"
"95",5,1,0,40,39.7559287921736,"strs","1"
"96",6,1,0,40,39.7571787632214,"strs","1"
"97",7,1,0,40,39.7480718313019,"strs","1"
"98",8,1,0,40,39.7503932061049,"strs","1"
"99",9,1,0,40,39.7498575042273,"strs","1"
"100",10,1,0,40,39.7522681626766,"strs","1"
"101",1,1,0,80,79.4859014112864,"strs","1"
"102",2,1,0,80,79.4878656515044,"strs","1"
"103",3,1,0,80,79.4947404922672,"strs","1"
"104",4,1,0,80,79.4817050799117,"strs","1"
"105",5,1,0,80,79.4981332708254,"strs","1"
"106",6,1,0,80,79.4852764257625,"strs","1"
"107",7,1,0,80,79.5080437555614,"strs","1"
"108",8,1,0,80,79.495008343206,"strs","1"
"109",9,1,0,80,79.504918827942,"strs","1"
"110",10,1,0,80,79.4875085169193,"strs","1"
"111",1,1,0,100,99.3658873734162,"strs","1"
"112",2,1,0,100,99.3643695514296,"strs","1"
"113",3,1,0,100,99.3686551664506,"strs","1"
"114",4,1,0,100,99.3742800361656,"strs","1"
"115",5,1,0,100,99.3656195224774,"strs","1"
"116",6,1,0,100,99.3673159117565,"strs","1"
"117",7,1,0,100,99.3649945369535,"strs","1"
"118",8,1,0,100,99.3650838205998,"strs","1"
"119",9,1,0,100,99.3734764833492,"strs","1"
"120",10,1,0,100,99.3698158538521,"strs","1"
"121",1,0,1,5,4.97441298393062,"ss","1"
"122",2,0,1,5,4.97137733995744,"ss","1"
"123",3,0,1,5,4.97334158017538,"ss","1"
"124",4,0,1,5,4.97378799840673,"ss","1"
"125",5,0,1,5,4.97244874371268,"ss","1"
"126",6,0,1,5,4.973877282053,"ss","1"
"127",7,0,1,5,4.97307372923657,"ss","1"
"128",8,0,1,5,4.97423441663808,"ss","1"
"129",9,0,1,5,4.97182375818879,"ss","1"
"130",10,0,1,5,4.97459155122316,"ss","1"
"131",1,0,1,10,9.93840514925141,"ss","1"
"132",2,0,1,10,9.94394073532015,"ss","1"
"133",3,0,1,10,9.94019082217681,"ss","1"
"134",4,0,1,10,9.94188721145594,"ss","1"
"135",5,0,1,10,9.94465500449031,"ss","1"
"136",6,0,1,10,9.94411930261269,"ss","1"
"137",7,0,1,10,9.94054795676189,"ss","1"
"138",8,0,1,10,9.94099437499324,"ss","1"
"139",9,0,1,10,9.93804801466633,"ss","1"
"140",10,0,1,10,9.9372444618499,"ss","1"
"141",1,1,0,20,19.8790677576633,"ss","1"
"142",2,1,0,20,19.8771928010916,"ss","1"
"143",3,1,0,20,19.8794248922484,"ss","1"
"144",4,0,1,20,19.8794248922484,"ss","1"
"145",5,0,1,20,19.8808534305887,"ss","1"
"146",6,1,0,20,19.880942714235,"ss","1"
"147",7,1,0,20,19.8737107388871,"ss","1"
"148",8,0,1,20,19.8800498777723,"ss","1"
"149",9,0,1,20,19.8796034595409,"ss","1"
"150",10,1,0,20,19.8788891903708,"ss","1"
"151",1,1,0,40,39.7394113176137,"ss","1"
"152",2,1,0,40,39.7489646677646,"ss","1"
