"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.97307372923657,"srs","1"
"2",2,0,1,5,4.97396656569927,"srs","1"
"3",3,0,1,5,4.97182375818879,"srs","1"
"4",4,0,1,5,4.97343086382165,"srs","1"
"5",5,0,1,5,4.97137733995744,"srs","1"
"6",6,0,1,5,4.97468083486943,"srs","1"
"7",7,0,1,5,4.97352014746792,"srs","1"
"8",8,0,1,5,4.97610937320975,"srs","1"
"9",9,0,1,5,4.97637722414856,"srs","1"
"10",10,0,1,5,4.9756629549784,"srs","1"
"11",1,0,1,10,9.94376216802761,"srs","1"
"12",2,0,1,10,9.94063724040816,"srs","1"
"13",3,0.1,0.9,10,9.94242291333356,"srs","1"
"14",4,0,1,10,9.94001225488427,"srs","1"
"15",5,0,1,10,9.94126222593205,"srs","1"
"16",6,0.1,0.9,10,9.9419764951022,"srs","1"
"17",7,0.1,0.9,10,9.94697637929333,"srs","1"
"18",8,0,1,10,9.93858371654395,"srs","1"
"19",9,0,1,10,9.94278004791864,"srs","1"
"20",10,0,1,10,9.94322646614999,"srs","1"
"21",1,0.6,0.4,20,19.8820141179902,"srs","1"
"22",2,0.6,0.4,20,19.8830855217455,"srs","1"
"23",3,0.6,0.4,20,19.8810319978813,"srs","1"
"24",4,0.4,0.6,20,19.878978474017,"srs","1"
"25",5,0.4,0.6,20,19.880942714235,"srs","1"
"26",6,0.4,0.6,20,19.8732643206558,"srs","1"
"27",7,0.4,0.6,20,19.8790677576633,"srs","1"
"28",8,0.5,0.5,20,19.8759428300439,"srs","1"
"29",9,0.6,0.4,20,19.8801391614186,"srs","1"
"30",10,0.3,0.7,20,19.8748714262886,"srs","1"
"31",1,0.9,0.1,40,39.7493218023497,"srs","1"
"32",2,1,0,40,39.7523574463228,"srs","1"
"33",3,1,0,40,39.7486075331795,"srs","1"
"34",4,1,0,40,39.751107475275,"srs","1"
"35",5,1,0,40,39.7564644940513,"srs","1"
"36",6,1,0,40,39.7447683363899,"srs","1"
"37",7,1,0,40,39.7557502248811,"srs","1"
"38",8,1,0,40,39.7569109122826,"srs","1"
"39",9,1,0,40,39.7526252972616,"srs","1"
"40",10,1,0,40,39.7468218602541,"srs","1"
"41",1,1,0,80,79.5035795732479,"srs","1"
"42",2,1,0,80,79.4929548193418,"srs","1"
"43",3,1,0,80,79.4931333866343,"srs","1"
"44",4,1,0,80,79.4929548193418,"srs","1"
"45",5,1,0,80,79.5051866788808,"srs","1"
"46",6,1,0,80,79.4835800364834,"srs","1"
"47",7,1,0,80,79.4955440450836,"srs","1"
"48",8,1,0,80,79.4784015849998,"srs","1"
"49",9,1,0,80,79.5061687989897,"srs","1"
"50",10,1,0,80,79.4965261651926,"srs","1"
"51",1,1,0,100,99.3735657669954,"srs","1"
"52",2,1,0,100,99.3691015846819,"srs","1"
"53",3,1,0,100,99.363833849552,"srs","1"
"54",4,1,0,100,99.3641017004908,"srs","1"
"55",5,1,0,100,99.3667802098789,"srs","1"
"56",6,1,0,100,99.3587446817146,"srs","1"
"57",7,1,0,100,99.3532983792921,"srs","1"
"58",8,1,0,100,99.3686551664506,"srs","1"
"59",9,1,0,100,99.3714229594849,"srs","1"
"60",10,1,0,100,99.3579411288982,"srs","1"
"61",1,0,1,5,4.97307372923657,"strs","1"
"62",2,0,1,5,4.97396656569927,"strs","1"
"63",3,0,1,5,4.97182375818879,"strs","1"
"64",4,0,1,5,4.97343086382165,"strs","1"
"65",5,0,1,5,4.97137733995744,"strs","1"
"66",6,0,1,5,4.97468083486943,"strs","1"
"67",7,0,1,5,4.97352014746792,"strs","1"
"68",8,0,1,5,4.97610937320975,"strs","1"
"69",9,0,1,5,4.97637722414856,"strs","1"
"70",10,0,1,5,4.9756629549784,"strs","1"
"71",1,0,1,10,9.94376216802761,"strs","1"
"72",2,0,1,10,9.94063724040816,"strs","1"
"73",3,0,1,10,9.94242291333356,"strs","1"
"74",4,0,1,10,9.94001225488427,"strs","1"
"75",5,0,1,10,9.94126222593205,"strs","1"
"76",6,0,1,10,9.9419764951022,"strs","1"
"77",7,0,1,10,9.94697637929333,"strs","1"
"78",8,0,1,10,9.93858371654395,"strs","1"
"79",9,0,1,10,9.94278004791864,"strs","1"
"80",10,0,1,10,9.94322646614999,"strs","1"
"81",1,0.5,0.5,20,19.8820141179902,"strs","1"
"82",2,0.4,0.6,20,19.8830855217455,"strs","1"
"83",3,0.5,0.5,20,19.8810319978813,"strs","1"
"84",4,0.5,0.5,20,19.878978474017,"strs","1"
"85",5,0.6,0.4,20,19.880942714235,"strs","1"
"86",6,0.7,0.3,20,19.8732643206558,"strs","1"
"87",7,0.3,0.7,20,19.8790677576633,"strs","1"
"88",8,0.8,0.2,20,19.8759428300439,"strs","1"
"89",9,0.5,0.5,20,19.8801391614186,"strs","1"
"90",10,0.4,0.6,20,19.8748714262886,"strs","1"
"91",1,0.9,0.1,40,39.7493218023497,"strs","1"
"92",2,1,0,40,39.7523574463228,"strs","1"
"93",3,1,0,40,39.7486075331795,"strs","1"
"94",4,1,0,40,39.751107475275,"strs","1"
"95",5,1,0,40,39.7564644940513,"strs","1"
"96",6,1,0,40,39.7447683363899,"strs","1"
"97",7,1,0,40,39.7557502248811,"strs","1"
"98",8,1,0,40,39.7569109122826,"strs","1"
"99",9,1,0,40,39.7526252972616,"strs","1"
"100",10,1,0,40,39.7468218602541,"strs","1"
"101",1,1,0,80,79.5035795732479,"strs","1"
"102",2,1,0,80,79.4929548193418,"strs","1"
"103",3,1,0,80,79.4931333866343,"strs","1"
"104",4,1,0,80,79.4929548193418,"strs","1"
"105",5,1,0,80,79.5051866788808,"strs","1"
"106",6,1,0,80,79.4835800364834,"strs","1"
"107",7,1,0,80,79.4955440450836,"strs","1"
"108",8,1,0,80,79.4784015849998,"strs","1"
"109",9,1,0,80,79.5061687989897,"strs","1"
"110",10,1,0,80,79.4965261651926,"strs","1"
"111",1,1,0,100,99.3735657669954,"strs","1"
"112",2,1,0,100,99.3691015846819,"strs","1"
"113",3,1,0,100,99.363833849552,"strs","1"
"114",4,1,0,100,99.3641017004908,"strs","1"
"115",5,1,0,100,99.3667802098789,"strs","1"
"116",6,1,0,100,99.3587446817146,"strs","1"
"117",7,1,0,100,99.3532983792921,"strs","1"
"118",8,1,0,100,99.3686551664506,"strs","1"
"119",9,1,0,100,99.3714229594849,"strs","1"
"120",10,1,0,100,99.3579411288982,"strs","1"
"121",1,0,1,5,4.97307372923657,"ss","1"
"122",2,0,1,5,4.97396656569927,"ss","1"
"123",3,0,1,5,4.97182375818879,"ss","1"
"124",4,0,1,5,4.97343086382165,"ss","1"
"125",5,0,1,5,4.97137733995744,"ss","1"
"126",6,0,1,5,4.97468083486943,"ss","1"
"127",7,0,1,5,4.97352014746792,"ss","1"
"128",8,0,1,5,4.97610937320975,"ss","1"
"129",9,0,1,5,4.97637722414856,"ss","1"
"130",10,0,1,5,4.9756629549784,"ss","1"
"131",1,0,1,10,9.94376216802761,"ss","1"
"132",2,0,1,10,9.94063724040816,"ss","1"
"133",3,0,1,10,9.94242291333356,"ss","1"
"134",4,0,1,10,9.94001225488427,"ss","1"
"135",5,0,1,10,9.94126222593205,"ss","1"
"136",6,0,1,10,9.9419764951022,"ss","1"
"137",7,0,1,10,9.94697637929333,"ss","1"
"138",8,0,1,10,9.93858371654395,"ss","1"
"139",9,0,1,10,9.94278004791864,"ss","1"
"140",10,0,1,10,9.94322646614999,"ss","1"
"141",1,0,1,20,19.8820141179902,"ss","1"
"142",2,0.9,0.1,20,19.8830855217455,"ss","1"
"143",3,0.2,0.8,20,19.8810319978813,"ss","1"
"144",4,0,1,20,19.878978474017,"ss","1"
"145",5,0.9,0.1,20,19.880942714235,"ss","1"
"146",6,0.2,0.8,20,19.8732643206558,"ss","1"
"147",7,0.2,0.8,20,19.8790677576633,"ss","1"
"148",8,0.8,0.2,20,19.8759428300439,"ss","1"
"149",9,0.3,0.7,20,19.8801391614186,"ss","1"
"150",10,0.8,0.2,20,19.8748714262886,"ss","1"
"151",1,1,0,40,39.7493218023497,"ss","1"
"152",2,1,0,40,39.7523574463228,"ss","1"
"153",3,1,0,40,39.7486075331795,"ss","1"
"154",4,1,0,40,39.751107475275,"ss","1"
"155",5,0.9,0.1,40,39.7564644940513,"ss","1"
"156",6,1,0,40,39.7447683363899,"ss","1"
