"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.97307372923657,5,"1"
"2",2,0,1,5,4.97396656569927,5,"1"
"3",3,0,1,5,4.97182375818879,5,"1"
"4",4,0,1,5,4.97343086382165,5,"1"
"5",5,0,1,5,4.97137733995744,5,"1"
"6",6,0,1,5,4.97468083486943,5,"1"
"7",7,0,1,5,4.97352014746792,5,"1"
"8",8,0,1,5,4.97610937320975,5,"1"
"9",9,0,1,5,4.97637722414856,5,"1"
"10",10,0,1,5,4.9756629549784,5,"1"
"11",1,0,1,10,9.94376216802761,5,"1"
"12",2,0,1,10,9.94063724040816,5,"1"
"13",3,0,1,10,9.94242291333356,5,"1"
"14",4,0.1,0.9,10,9.94001225488427,5,"1"
"15",5,0,1,10,9.94126222593205,5,"1"
"16",6,0,1,10,9.9419764951022,5,"1"
"17",7,0,1,10,9.94697637929333,5,"1"
"18",8,0,1,10,9.93858371654395,5,"1"
"19",9,0,1,10,9.94278004791864,5,"1"
"20",10,0,1,10,9.94322646614999,5,"1"
"21",1,0.1,0.9,20,19.8820141179902,5,"1"
"22",2,0.5,0.5,20,19.8830855217455,5,"1"
"23",3,0.5,0.5,20,19.8810319978813,5,"1"
"24",4,0.4,0.6,20,19.878978474017,5,"1"
"25",5,0.3,0.7,20,19.880942714235,5,"1"
"26",6,0.6,0.4,20,19.8732643206558,5,"1"
"27",7,0.2,0.8,20,19.8790677576633,5,"1"
"28",8,0.6,0.4,20,19.8759428300439,5,"1"
"29",9,0.5,0.5,20,19.8801391614186,5,"1"
"30",10,0.4,0.6,20,19.8748714262886,5,"1"
"31",1,1,0,40,39.7493218023497,5,"1"
"32",2,1,0,40,39.7523574463228,5,"1"
"33",3,1,0,40,39.7486075331795,5,"1"
"34",4,1,0,40,39.751107475275,5,"1"
"35",5,1,0,40,39.7564644940513,5,"1"
"36",6,1,0,40,39.7447683363899,5,"1"
"37",7,1,0,40,39.7557502248811,5,"1"
"38",8,1,0,40,39.7569109122826,5,"1"
"39",9,1,0,40,39.7526252972616,5,"1"
"40",10,1,0,40,39.7468218602541,5,"1"
"41",1,1,0,80,79.5035795732479,5,"1"
"42",2,1,0,80,79.4929548193418,5,"1"
"43",3,1,0,80,79.4931333866343,5,"1"
"44",4,1,0,80,79.4929548193418,5,"1"
"45",5,1,0,80,79.5051866788808,5,"1"
"46",6,1,0,80,79.4835800364834,5,"1"
"47",7,1,0,80,79.4955440450836,5,"1"
"48",8,1,0,80,79.4784015849998,5,"1"
"49",9,1,0,80,79.5061687989897,5,"1"
"50",10,1,0,80,79.4965261651926,5,"1"
"51",1,1,0,100,99.3735657669954,5,"1"
"52",2,1,0,100,99.3691015846819,5,"1"
"53",3,1,0,100,99.363833849552,5,"1"
"54",4,1,0,100,99.3641017004908,5,"1"
"55",5,1,0,100,99.3667802098789,5,"1"
"56",6,1,0,100,99.3587446817146,5,"1"
"57",7,1,0,100,99.3532983792921,5,"1"
"58",8,1,0,100,99.3686551664506,5,"1"
"59",9,1,0,100,99.3714229594849,5,"1"
"60",10,1,0,100,99.3579411288982,5,"1"
"61",1,0,1,5,4.97307372923657,10,"1"
"62",2,0,1,5,4.97396656569927,10,"1"
"63",3,0,1,5,4.97182375818879,10,"1"
"64",4,0,1,5,4.97343086382165,10,"1"
"65",5,0,1,5,4.97137733995744,10,"1"
"66",6,0,1,5,4.97468083486943,10,"1"
"67",7,0,1,5,4.97352014746792,10,"1"
"68",8,0,1,5,4.97610937320975,10,"1"
"69",9,0,1,5,4.97637722414856,10,"1"
"70",10,0,1,5,4.9756629549784,10,"1"
"71",1,0,1,10,9.94376216802761,10,"1"
"72",2,0,1,10,9.94063724040816,10,"1"
"73",3,0,1,10,9.94242291333356,10,"1"
"74",4,0,1,10,9.94001225488427,10,"1"
"75",5,0,1,10,9.94126222593205,10,"1"
"76",6,0,1,10,9.9419764951022,10,"1"
"77",7,0,1,10,9.94697637929333,10,"1"
"78",8,0,1,10,9.93858371654395,10,"1"
"79",9,0,1,10,9.94278004791864,10,"1"
"80",10,0,1,10,9.94322646614999,10,"1"
"81",1,0.5,0.5,20,19.8820141179902,10,"1"
"82",2,0.5,0.5,20,19.8830855217455,10,"1"
"83",3,0.5,0.5,20,19.8810319978813,10,"1"
"84",4,0.4,0.6,20,19.878978474017,10,"1"
"85",5,0.4,0.6,20,19.880942714235,10,"1"
"86",6,0.6,0.4,20,19.8732643206558,10,"1"
"87",7,0.3,0.7,20,19.8790677576633,10,"1"
"88",8,0.3,0.7,20,19.8759428300439,10,"1"
"89",9,0.7,0.3,20,19.8801391614186,10,"1"
"90",10,0.8,0.2,20,19.8748714262886,10,"1"
"91",1,1,0,40,39.7493218023497,10,"1"
"92",2,1,0,40,39.7523574463228,10,"1"
"93",3,1,0,40,39.7486075331795,10,"1"
"94",4,1,0,40,39.751107475275,10,"1"
"95",5,1,0,40,39.7564644940513,10,"1"
"96",6,1,0,40,39.7447683363899,10,"1"
"97",7,1,0,40,39.7557502248811,10,"1"
"98",8,1,0,40,39.7569109122826,10,"1"
"99",9,1,0,40,39.7526252972616,10,"1"
"100",10,1,0,40,39.7468218602541,10,"1"
"101",1,1,0,80,79.5035795732479,10,"1"
"102",2,1,0,80,79.4929548193418,10,"1"
"103",3,1,0,80,79.4931333866343,10,"1"
"104",4,1,0,80,79.4929548193418,10,"1"
"105",5,1,0,80,79.5051866788808,10,"1"
"106",6,1,0,80,79.4835800364834,10,"1"
"107",7,1,0,80,79.4955440450836,10,"1"
"108",8,1,0,80,79.4784015849998,10,"1"
"109",9,1,0,80,79.5061687989897,10,"1"
"110",10,1,0,80,79.4965261651926,10,"1"
"111",1,1,0,100,99.3735657669954,10,"1"
"112",2,1,0,100,99.3691015846819,10,"1"
"113",3,1,0,100,99.363833849552,10,"1"
"114",4,1,0,100,99.3641017004908,10,"1"
"115",5,1,0,100,99.3667802098789,10,"1"
"116",6,1,0,100,99.3587446817146,10,"1"
"117",7,1,0,100,99.3532983792921,10,"1"
"118",8,1,0,100,99.3686551664506,10,"1"
"119",9,1,0,100,99.3714229594849,10,"1"
"120",10,1,0,100,99.3579411288982,10,"1"
"121",1,0,1,5,4.97307372923657,100,"1"
"122",2,0,1,5,4.97396656569927,100,"1"
"123",3,0,1,5,4.97182375818879,100,"1"
"124",4,0,1,5,4.97343086382165,100,"1"
"125",5,0,1,5,4.97137733995744,100,"1"
"126",6,0,1,5,4.97468083486943,100,"1"
"127",7,0,1,5,4.97352014746792,100,"1"
"128",8,0,1,5,4.97610937320975,100,"1"
"129",9,0,1,5,4.97637722414856,100,"1"
"130",10,0,1,5,4.9756629549784,100,"1"
"131",1,0,1,10,9.94376216802761,100,"1"
"132",2,0,1,10,9.94063724040816,100,"1"
"133",3,0,1,10,9.94242291333356,100,"1"
"134",4,0,1,10,9.94001225488427,100,"1"
"135",5,0,1,10,9.94126222593205,100,"1"
"136",6,0,1,10,9.9419764951022,100,"1"
"137",7,0,1,10,9.94697637929333,100,"1"
"138",8,0,1,10,9.93858371654395,100,"1"
"139",9,0,1,10,9.94278004791864,100,"1"
"140",10,0,1,10,9.94322646614999,100,"1"
"141",1,1,0,20,19.8820141179902,100,"1"
"142",2,0.8,0.2,20,19.8830855217455,100,"1"
"143",3,0.9,0.1,20,19.8810319978813,100,"1"
"144",4,0.7,0.3,20,19.878978474017,100,"1"
"145",5,1,0,20,19.880942714235,100,"1"
"146",6,1,0,20,19.8732643206558,100,"1"
"147",7,0.8,0.2,20,19.8790677576633,100,"1"
"148",8,0.7,0.3,20,19.8759428300439,100,"1"
"149",9,0.9,0.1,20,19.8801391614186,100,"1"
"150",10,1,0,20,19.8748714262886,100,"1"
"151",1,1,0,40,39.7493218023497,100,"1"
"152",2,1,0,40,39.7523574463228,100,"1"
"153",3,1,0,40,39.7486075331795,100,"1"
"154",4,1,0,40,39.751107475275,100,"1"
"155",5,1,0,40,39.7564644940513,100,"1"
"156",6,1,0,40,39.7447683363899,100,"1"
"157",7,1,0,40,39.7557502248811,100,"1"
"158",8,1,0,40,39.7569109122826,100,"1"
"159",9,1,0,40,39.7526252972616,100,"1"
"160",10,1,0,40,39.7468218602541,100,"1"
"161",1,1,0,80,79.5035795732479,100,"1"
"162",2,1,0,80,79.4929548193418,100,"1"
"163",3,1,0,80,79.4931333866343,100,"1"
"164",4,1,0,80,79.4929548193418,100,"1"
"165",5,1,0,80,79.5051866788808,100,"1"
"166",6,1,0,80,79.4835800364834,100,"1"
"167",7,1,0,80,79.4955440450836,100,"1"
"168",8,1,0,80,79.4784015849998,100,"1"
"169",9,1,0,80,79.5061687989897,100,"1"
"170",10,1,0,80,79.4965261651926,100,"1"
"171",1,1,0,100,99.3735657669954,100,"1"
"172",2,1,0,100,99.3691015846819,100,"1"
"173",3,1,0,100,99.363833849552,100,"1"
"174",4,1,0,100,99.3641017004908,100,"1"
"175",5,1,0,100,99.3667802098789,100,"1"
"176",6,1,0,100,99.3587446817146,100,"1"
"177",7,1,0,100,99.3532983792921,100,"1"
"178",8,1,0,100,99.3686551664506,100,"1"
"179",9,1,0,100,99.3714229594849,100,"1"
"180",10,1,0,100,99.3579411288982,100,"1"
"181",1,0,1,5,4.97307372923657,5,"10"
"182",2,0,1,5,4.97396656569927,5,"10"
"183",3,0,1,5,4.97182375818879,5,"10"
"184",4,0,1,5,4.97343086382165,5,"10"
"185",5,0,1,5,4.97137733995744,5,"10"
"186",6,0,1,5,4.97468083486943,5,"10"
"187",7,0,1,5,4.97352014746792,5,"10"
"188",8,0,1,5,4.97610937320975,5,"10"
"189",9,0,1,5,4.97637722414856,5,"10"
"190",10,0,1,5,4.9756629549784,5,"10"
"191",1,0,1,10,9.94376216802761,5,"10"
"192",2,0,1,10,9.94063724040816,5,"10"
"193",3,0,1,10,9.94242291333356,5,"10"
"194",4,0,1,10,9.94001225488427,5,"10"
"195",5,0,1,10,9.94126222593205,5,"10"
"196",6,0,1,10,9.9419764951022,5,"10"
"197",7,0,1,10,9.94697637929333,5,"10"
"198",8,0,1,10,9.93858371654395,5,"10"
"199",9,0,1,10,9.94278004791864,5,"10"
"200",10,0,1,10,9.94322646614999,5,"10"
"201",1,0.5,0.5,20,19.8820141179902,5,"10"
"202",2,0.4,0.6,20,19.8830855217455,5,"10"
"203",3,0.5,0.5,20,19.8810319978813,5,"10"
"204",4,0.2,0.8,20,19.878978474017,5,"10"
"205",5,0.4,0.6,20,19.880942714235,5,"10"
"206",6,0.6,0.4,20,19.8732643206558,5,"10"
"207",7,0.5,0.5,20,19.8790677576633,5,"10"
"208",8,0.6,0.4,20,19.8759428300439,5,"10"
"209",9,0.4,0.6,20,19.8801391614186,5,"10"
"210",10,0.4,0.6,20,19.8748714262886,5,"10"
"211",1,1,0,40,39.7493218023497,5,"10"
"212",2,1,0,40,39.7523574463228,5,"10"
"213",3,0.9,0.1,40,39.7486075331795,5,"10"
"214",4,1,0,40,39.751107475275,5,"10"
"215",5,1,0,40,39.7564644940513,5,"10"
"216",6,1,0,40,39.7447683363899,5,"10"
"217",7,1,0,40,39.7557502248811,5,"10"
"218",8,1,0,40,39.7569109122826,5,"10"
"219",9,0.9,0.1,40,39.7526252972616,5,"10"
"220",10,1,0,40,39.7468218602541,5,"10"
"221",1,1,0,80,79.5035795732479,5,"10"
"222",2,1,0,80,79.4929548193418,5,"10"
"223",3,1,0,80,79.4931333866343,5,"10"
"224",4,1,0,80,79.4929548193418,5,"10"
"225",5,1,0,80,79.5051866788808,5,"10"
"226",6,1,0,80,79.4835800364834,5,"10"
"227",7,1,0,80,79.4955440450836,5,"10"
"228",8,1,0,80,79.4784015849998,5,"10"
"229",9,1,0,80,79.5061687989897,5,"10"
"230",10,1,0,80,79.4965261651926,5,"10"
"231",1,1,0,100,99.3735657669954,5,"10"
"232",2,1,0,100,99.3691015846819,5,"10"
"233",3,1,0,100,99.363833849552,5,"10"
"234",4,1,0,100,99.3641017004908,5,"10"
"235",5,1,0,100,99.3667802098789,5,"10"
"236",6,1,0,100,99.3587446817146,5,"10"
"237",7,1,0,100,99.3532983792921,5,"10"
"238",8,1,0,100,99.3686551664506,5,"10"
"239",9,1,0,100,99.3714229594849,5,"10"
"240",10,1,0,100,99.3579411288982,5,"10"
"241",1,0,1,5,4.97307372923657,10,"10"
