"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.89233823246934,"srs","1"
"2",2,0,1,5,4.96733648884993,"srs","1"
"3",3,0,1,5,4.96733648884993,"srs","1"
"4",4,0,1,5,4.92983736065963,"srs","1"
"5",5,0,1,5,4.92046257861206,"srs","1"
"6",6,0,1,5,4.92983736065963,"srs","1"
"7",7,0,1,5,4.92983736065963,"srs","1"
"8",8,0,1,5,4.92983736065963,"srs","1"
"9",9,0,1,5,4.92983736065963,"srs","1"
"10",10,0,1,5,4.92046257861206,"srs","1"
"11",1,0,1,10,9.84222315358807,"srs","1"
"12",2,0,1,10,9.82347358949292,"srs","1"
"13",3,0,1,10,9.89847184587351,"srs","1"
"14",4,0,1,10,9.76722489720748,"srs","1"
"15",5,0,1,10,9.76722489720748,"srs","1"
"16",6,0,1,10,9.7953492433502,"srs","1"
"17",7,0,1,10,9.72035098696962,"srs","1"
"18",8,0,1,10,9.73910055106476,"srs","1"
"19",9,0,1,10,9.76722489720748,"srs","1"
"20",10,0,1,10,9.7953492433502,"srs","1"
"21",1,1,0,20,19.6763695214925,"srs","1"
"22",2,0,1,20,19.6201208292071,"srs","1"
"23",3,0,1,20,19.5169982266838,"srs","1"
"24",4,0,1,20,19.5919964830644,"srs","1"
"25",5,1,0,20,19.5451225728265,"srs","1"
"26",6,0,1,20,19.5638721369216,"srs","1"
"27",7,0,1,20,19.5076234446362,"srs","1"
"28",8,1,0,20,19.6294956112547,"srs","1"
"29",9,0,1,20,19.6013712651119,"srs","1"
"30",10,0,1,20,19.5076234446362,"srs","1"
"31",1,1,0,40,39.1009179240645,"srs","1"
"32",2,1,0,40,39.1759161804451,"srs","1"
"33",3,1,0,40,39.0727935779218,"srs","1"
"34",4,1,0,40,38.9602961933509,"srs","1"
"35",5,1,0,40,39.1852909624927,"srs","1"
"36",6,1,0,40,39.1384170522548,"srs","1"
"37",7,1,0,40,39.2040405265878,"srs","1"
"38",8,0,1,40,39.1290422702072,"srs","1"
"39",9,1,0,40,39.1009179240645,"srs","1"
"40",10,1,0,40,39.1009179240645,"srs","1"
"41",1,1,0,80,77.9031408189706,"srs","1"
"42",2,1,0,80,78.203133844493,"srs","1"
"43",3,1,0,80,77.9031408189706,"srs","1"
"44",4,1,0,80,78.0156382035415,"srs","1"
"45",5,1,0,80,78.1562599342551,"srs","1"
"46",6,1,0,80,78.2312581906357,"srs","1"
"47",7,1,0,80,78.0812616778745,"srs","1"
"48",8,1,0,80,78.1281355881124,"srs","1"
"49",9,1,0,80,78.0812616778745,"srs","1"
"50",10,1,0,80,78.1562599342551,"srs","1"
"51",1,1,0,100,97.758929195731,"srs","1"
"52",2,1,0,100,97.7776787598261,"srs","1"
"53",3,1,0,100,97.8433022341591,"srs","1"
"54",4,1,0,100,97.6183074650174,"srs","1"
"55",5,1,0,100,97.7214300675407,"srs","1"
"56",6,1,0,100,97.4964352983989,"srs","1"
"57",7,1,0,100,97.8808013623494,"srs","1"
"58",8,1,0,100,97.8995509264446,"srs","1"
"59",9,1,0,100,97.6558065932077,"srs","1"
"60",10,1,0,100,97.5245596445416,"srs","1"
"61",1,0,1,5,4.94858692475478,"strs","1"
"62",2,0,1,5,4.98608605294507,"strs","1"
"63",3,0,1,5,4.91108779656449,"strs","1"
"64",4,0,1,5,4.90171301451691,"strs","1"
"65",5,0,1,5,4.92046257861206,"strs","1"
"66",6,0,1,5,4.91108779656449,"strs","1"
"67",7,0,1,5,4.89233823246934,"strs","1"
"68",8,0,1,5,4.89233823246934,"strs","1"
"69",9,0,1,5,4.94858692475478,"strs","1"
"70",10,0,1,5,4.88296345042177,"strs","1"
"71",1,0,1,10,9.7953492433502,"strs","1"
"72",2,0,1,10,9.8328483715405,"strs","1"
"73",3,0,1,10,9.76722489720748,"strs","1"
"74",4,0,1,10,9.76722489720748,"strs","1"
"75",5,0,1,10,9.82347358949292,"strs","1"
"76",6,0,1,10,9.80472402539778,"strs","1"
"77",7,0,1,10,9.86097271768322,"strs","1"
"78",8,0,1,10,9.73910055106476,"strs","1"
"79",9,0,1,10,9.75785011515991,"strs","1"
"80",10,0,1,10,9.74847533311234,"strs","1"
"81",1,0,1,20,19.5638721369216,"strs","1"
"82",2,1,0,20,19.6107460471595,"strs","1"
"83",3,1,0,20,19.5919964830644,"strs","1"
"84",4,0,1,20,19.5826217010168,"strs","1"
"85",5,1,0,20,19.7138686496828,"strs","1"
"86",6,0,1,20,19.6013712651119,"strs","1"
"87",7,0,1,20,19.5076234446362,"strs","1"
"88",8,1,0,20,19.6388703933022,"strs","1"
"89",9,0,1,20,19.6013712651119,"strs","1"
"90",10,0,1,20,19.5638721369216,"strs","1"
"91",1,1,0,40,39.0446692317791,"strs","1"
"92",2,1,0,40,39.1571666163499,"strs","1"
"93",3,1,0,40,39.1946657445402,"strs","1"
"94",4,1,0,40,39.1196674881596,"strs","1"
"95",5,1,0,40,39.1946657445402,"strs","1"
"96",6,1,0,40,39.0727935779218,"strs","1"
"97",7,1,0,40,39.1102927061121,"strs","1"
"98",8,1,0,40,39.0727935779218,"strs","1"
"99",9,1,0,40,39.2415396547781,"strs","1"
"100",10,1,0,40,39.0634187958742,"strs","1"
"101",1,1,0,80,78.2312581906357,"strs","1"
"102",2,1,0,80,78.1281355881124,"strs","1"
"103",3,1,0,80,78.1843842803978,"strs","1"
"104",4,1,0,80,78.2500077547308,"strs","1"
"105",5,1,0,80,77.8750164728279,"strs","1"
"106",6,1,0,80,78.1937590624454,"strs","1"
"107",7,1,0,80,78.0531373317318,"strs","1"
"108",8,1,0,80,78.0625121137794,"strs","1"
"109",9,1,0,80,78.1562599342551,"strs","1"
"110",10,1,0,80,77.9968886394463,"strs","1"
"111",1,1,0,100,97.6558065932077,"strs","1"
"112",2,1,0,100,98.0026735289679,"strs","1"
"113",3,1,0,100,97.4589361702086,"strs","1"
"114",4,1,0,100,97.9276752725873,"strs","1"
"115",5,1,0,100,97.8526770162067,"strs","1"
"116",6,1,0,100,97.7214300675407,"strs","1"
"117",7,1,0,100,97.6183074650174,"strs","1"
"118",8,1,0,100,97.5995579009222,"strs","1"
"119",9,1,0,100,97.6558065932077,"strs","1"
"120",10,1,0,100,97.4589361702086,"strs","1"
"121",1,0,1,5,4.92046257861206,"ss","1"
