"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.92012821499398,5,"1"
"2",2,0,1,5,4.93887777924588,5,"1"
"3",3,0,1,5,4.91075343286803,5,"1"
"4",4,0,1,5,4.92012821499398,5,"1"
"5",5,0,1,5,4.92950299711993,5,"1"
"6",6,0,1,5,4.92012821499398,5,"1"
"7",7,0,1,5,4.91075343286803,5,"1"
"8",8,0,1,5,4.92012821499398,5,"1"
"9",9,0,1,5,4.92950299711993,5,"1"
"10",10,0,1,5,4.90137865074209,5,"1"
"11",11,0.01,0.99,5,4.92950299711993,5,"1"
"12",12,0,1,5,4.96700212562372,5,"1"
"13",13,0,1,5,4.92950299711993,5,"1"
"14",14,0,1,5,4.92950299711993,5,"1"
"15",15,0,1,5,4.92012821499398,5,"1"
"16",16,0,1,5,4.92012821499398,5,"1"
"17",17,0,1,5,4.92950299711993,5,"1"
"18",18,0,1,5,4.95762734349777,5,"1"
"19",19,0.01,0.99,5,4.96700212562372,5,"1"
"20",20,0,1,5,4.91075343286803,5,"1"
"21",21,0,1,5,4.96700212562372,5,"1"
"22",22,0,1,5,4.90137865074209,5,"1"
"23",23,0,1,5,4.94825256137182,5,"1"
"24",24,0,1,5,4.88262908649019,5,"1"
"25",25,0,1,5,4.93887777924588,5,"1"
"26",26,0,1,5,4.88262908649019,5,"1"
"27",27,0,1,5,4.92012821499398,5,"1"
"28",28,0,1,5,4.92012821499398,5,"1"
"29",29,0,1,5,4.86387952223829,5,"1"
"30",30,0,1,5,4.89200386861614,5,"1"
"31",31,0,1,5,4.90137865074209,5,"1"
"32",32,0,1,5,4.86387952223829,5,"1"
"33",33,0,1,5,4.88262908649019,5,"1"
"34",34,0,1,5,4.91075343286803,5,"1"
"35",35,0,1,5,4.89200386861614,5,"1"
"36",36,0,1,5,4.92012821499398,5,"1"
"37",37,0,1,5,4.88262908649019,5,"1"
"38",38,0,1,5,4.89200386861614,5,"1"
"39",39,0,1,5,4.92012821499398,5,"1"
"40",40,0,1,5,4.92950299711993,5,"1"
"41",41,0,1,5,4.91075343286803,5,"1"
"42",42,0,1,5,4.89200386861614,5,"1"
"43",43,0,1,5,4.94825256137182,5,"1"
"44",44,0,1,5,4.92950299711993,5,"1"
"45",45,0,1,5,4.87325430436424,5,"1"
"46",46,0,1,5,4.91075343286803,5,"1"
"47",47,0,1,5,4.92950299711993,5,"1"
"48",48,0,1,5,4.94825256137182,5,"1"
"49",49,0,1,5,4.92012821499398,5,"1"
"50",50,0,1,5,4.93887777924588,5,"1"
"51",51,0,1,5,4.92012821499398,5,"1"
"52",52,0,1,5,4.98575168987561,5,"1"
"53",53,0,1,5,4.92950299711993,5,"1"
"54",54,0,1,5,4.86387952223829,5,"1"
"55",55,0,1,5,4.91075343286803,5,"1"
