"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.92983736065963,5,"1"
"2",2,0,1,5,4.88296345042177,5,"1"
"3",3,0,1,5,4.92046257861206,5,"1"
"4",4,0,1,5,4.88296345042177,5,"1"
"5",5,0,1,5,4.92046257861206,5,"1"
"6",6,0,1,5,4.91108779656449,5,"1"
"7",7,0,1,5,4.92983736065963,5,"1"
"8",8,0,1,5,4.94858692475478,5,"1"
"9",9,0,1,5,4.92046257861206,5,"1"
"10",10,0,1,5,4.89233823246934,5,"1"
"11",1,0,1,10,9.87972228177836,5,"1"
"12",2,0,1,10,9.78597446130263,5,"1"
"13",3,0,1,10,9.71097620492204,5,"1"
"14",4,0,1,10,9.8328483715405,5,"1"
"15",5,0,1,10,9.78597446130263,5,"1"
"16",6,0,1,10,9.71097620492204,5,"1"
"17",7,0,1,10,9.72035098696962,5,"1"
"18",8,0,1,10,9.80472402539778,5,"1"
"19",9,0,1,10,9.80472402539778,5,"1"
"20",10,0,1,10,9.73910055106476,5,"1"
"21",1,0,1,20,19.5638721369216,5,"1"
"22",2,0,1,20,19.6482451753498,5,"1"
"23",3,1,0,20,19.5076234446362,5,"1"
"24",4,1,0,20,19.5638721369216,5,"1"
"25",5,0,1,20,19.6013712651119,5,"1"
"26",6,0,1,20,19.4701243164459,5,"1"
"27",7,0,1,20,19.6013712651119,5,"1"
"28",8,1,0,20,19.4326251882556,5,"1"
"29",9,1,0,20,19.5076234446362,5,"1"
"30",10,0,1,20,19.6763695214925,5,"1"
"31",1,1,0,40,39.1384170522548,5,"1"
"32",2,1,0,40,39.0165448856363,5,"1"
"33",3,1,0,40,39.1102927061121,5,"1"
"34",4,1,0,40,39.0727935779218,5,"1"
"35",5,1,0,40,39.1946657445402,5,"1"
"36",6,1,0,40,39.1946657445402,5,"1"
"37",7,1,0,40,39.1665413983975,5,"1"
"38",8,1,0,40,39.1196674881596,5,"1"
"39",9,1,0,40,39.1571666163499,5,"1"
"40",10,1,0,40,39.2415396547781,5,"1"
"41",1,1,0,80,78.1562599342551,5,"1"
"42",2,1,0,80,77.893766036923,5,"1"
"43",3,1,0,80,78.1093860240172,5,"1"
"44",4,1,0,80,78.3437555752066,5,"1"
"45",5,1,0,80,78.1093860240172,5,"1"
"46",6,1,0,80,77.9687642933036,5,"1"
"47",7,1,0,80,78.2218834085881,5,"1"
"48",8,1,0,80,78.2218834085881,5,"1"
"49",9,1,0,80,78.0906364599221,5,"1"
"50",10,1,0,80,78.2312581906357,5,"1"
"51",1,1,0,100,97.4964352983989,5,"1"
"52",2,1,0,100,97.6933057213979,5,"1"
"53",3,1,0,100,97.6651813752552,5,"1"
"54",4,1,0,100,97.5620587727319,5,"1"
"55",5,1,0,100,97.7214300675407,5,"1"
"56",6,1,0,100,97.6089326829698,5,"1"
"57",7,1,0,100,97.6933057213979,5,"1"
"58",8,1,0,100,97.7776787598261,5,"1"
"59",9,1,0,100,97.8526770162067,5,"1"
"60",10,1,0,100,97.9276752725873,5,"1"
"61",1,0,1,5,4.92046257861206,10,"1"
"62",2,0,1,5,4.91108779656449,10,"1"
"63",3,0,1,5,4.94858692475478,10,"1"
"64",4,0,1,5,4.91108779656449,10,"1"
"65",5,0,1,5,4.92983736065963,10,"1"
"66",6,0,1,5,4.92046257861206,10,"1"
"67",7,0,1,5,4.88296345042177,10,"1"
"68",8,0,1,5,4.86421388632662,10,"1"
"69",9,0,1,5,4.98608605294507,10,"1"
"70",10,0,1,5,4.92983736065963,10,"1"
"71",1,0,1,10,9.78597446130263,10,"1"
"72",2,0,1,10,9.7953492433502,10,"1"
"73",3,0,1,10,9.78597446130263,10,"1"
"74",4,0,1,10,9.77659967925506,10,"1"
"75",5,0,1,10,9.75785011515991,10,"1"
"76",6,0,1,10,9.74847533311234,10,"1"
"77",7,0,1,10,9.76722489720748,10,"1"
"78",8,0,1,10,9.87972228177836,10,"1"
"79",9,0,1,10,9.76722489720748,10,"1"
"80",10,0,1,10,9.73910055106476,10,"1"
"81",1,0,1,20,19.6294956112547,10,"1"
"82",2,1,0,20,19.4982486625886,10,"1"
"83",3,1,0,20,19.4982486625886,10,"1"
"84",4,0,1,20,19.5169982266838,10,"1"
"85",5,1,0,20,19.5076234446362,10,"1"
"86",6,1,0,20,19.5357477907789,10,"1"
"87",7,0,1,20,19.5451225728265,10,"1"
"88",8,0,1,20,19.4701243164459,10,"1"
"89",9,1,0,20,19.5732469189692,10,"1"
"90",10,0,1,20,19.5919964830644,10,"1"
"91",1,1,0,40,39.0634187958742,10,"1"
"92",2,1,0,40,39.1009179240645,10,"1"
"93",3,1,0,40,38.84779880878,10,"1"
"94",4,1,0,40,39.2321648727305,10,"1"
"95",5,1,0,40,39.1009179240645,10,"1"
"96",6,1,0,40,39.0165448856363,10,"1"
"97",7,1,0,40,39.0634187958742,10,"1"
"98",8,1,0,40,39.1384170522548,10,"1"
"99",9,1,0,40,39.1946657445402,10,"1"
"100",10,1,0,40,39.1009179240645,10,"1"
"101",1,1,0,80,78.1750094983502,10,"1"
"102",2,1,0,80,78.2593825367784,10,"1"
"103",3,1,0,80,78.0062634214939,10,"1"
"104",4,1,0,80,78.1093860240172,10,"1"
"105",5,1,0,80,78.1468851522075,10,"1"
"106",6,1,0,80,78.2312581906357,10,"1"
"107",7,1,0,80,78.2406329726833,10,"1"
"108",8,1,0,80,78.4187538315871,10,"1"
"109",9,1,0,80,78.2312581906357,10,"1"
"110",10,1,0,80,78.1281355881124,10,"1"
"111",1,1,0,100,97.6089326829698,10,"1"
"112",2,1,0,100,97.7026805034455,10,"1"
"113",3,1,0,100,97.7776787598261,10,"1"
"114",4,1,0,100,97.6651813752552,10,"1"
"115",5,1,0,100,97.6464318111601,10,"1"
"116",6,1,0,100,97.4589361702086,10,"1"
"117",7,1,0,100,97.6558065932077,10,"1"
"118",8,1,0,100,97.6651813752552,10,"1"
"119",9,1,0,100,97.7026805034455,10,"1"
"120",10,1,0,100,97.4214370420183,10,"1"
"121",1,0,1,5,4.91108779656449,100,"1"
"122",2,0,1,5,4.92046257861206,100,"1"
"123",3,0,1,5,4.92046257861206,100,"1"
"124",4,0,1,5,4.92046257861206,100,"1"
"125",5,0,1,5,4.92046257861206,100,"1"
"126",6,0,1,5,4.92046257861206,100,"1"
"127",7,0,1,5,4.96733648884993,100,"1"
"128",8,0,1,5,4.93921214270721,100,"1"
"129",9,0,1,5,4.94858692475478,100,"1"
"130",10,0,1,5,4.89233823246934,100,"1"
"131",1,0,1,10,9.74847533311234,100,"1"
"132",2,0,1,10,9.7953492433502,100,"1"
"133",3,0,1,10,9.7953492433502,100,"1"
"134",4,0,1,10,9.86097271768322,100,"1"
"135",5,0,1,10,9.78597446130263,100,"1"
"136",6,0,1,10,9.77659967925506,100,"1"
"137",7,0,1,10,9.87972228177836,100,"1"
"138",8,0,1,10,9.73910055106476,100,"1"
"139",9,0,1,10,9.78597446130263,100,"1"
"140",10,0,1,10,9.76722489720748,100,"1"
"141",1,0,1,20,19.5732469189692,100,"1"
"142",2,0,1,20,19.4701243164459,100,"1"
"143",3,1,0,20,19.6388703933022,100,"1"
"144",4,0,1,20,19.4701243164459,100,"1"
"145",5,0,1,20,19.6013712651119,100,"1"
"146",6,0,1,20,19.5544973548741,100,"1"
"147",7,0,1,20,19.5919964830644,100,"1"
"148",8,0,1,20,19.5076234446362,100,"1"
"149",9,1,0,20,19.5732469189692,100,"1"
"150",10,0,1,20,19.5357477907789,100,"1"
"151",1,1,0,40,39.0165448856363,100,"1"
"152",2,1,0,40,38.9884205394936,100,"1"
"153",3,1,0,40,39.0165448856363,100,"1"
"154",4,1,0,40,39.2040405265878,100,"1"
"155",5,1,0,40,39.1009179240645,100,"1"
"156",6,1,0,40,38.9884205394936,100,"1"
"157",7,1,0,40,39.0727935779218,100,"1"
"158",8,1,0,40,39.1009179240645,100,"1"
"159",9,1,0,40,39.1477918343024,100,"1"
"160",10,1,0,40,39.0352944497315,100,"1"
"161",1,1,0,80,78.1187608060648,100,"1"
"162",2,1,0,80,78.2218834085881,100,"1"
"163",3,1,0,80,78.0906364599221,100,"1"
"164",4,1,0,80,77.8750164728279,100,"1"
"165",5,1,0,80,78.0906364599221,100,"1"
"166",6,1,0,80,78.1187608060648,100,"1"
"167",7,1,0,80,78.1843842803978,100,"1"
"168",8,1,0,80,78.4468781777299,100,"1"
"169",9,1,0,80,78.1562599342551,100,"1"
"170",10,1,0,80,78.0156382035415,100,"1"
"171",1,1,0,100,97.5901831188746,100,"1"
"172",2,1,0,100,97.6745561573028,100,"1"
"173",3,1,0,100,97.5526839906844,100,"1"
"174",4,1,0,100,97.5808083368271,100,"1"
"175",5,1,0,100,97.6558065932077,100,"1"
"176",6,1,0,100,97.758929195731,100,"1"
"177",7,1,0,100,97.824552670064,100,"1"
"178",8,1,0,100,97.4589361702086,100,"1"
"179",9,1,0,100,97.7214300675407,100,"1"
"180",10,1,0,100,97.6933057213979,100,"1"
"181",1,0,1,5,4.92046257861206,5,"10"
"182",2,0,1,5,4.86421388632662,5,"10"
"183",3,0,1,5,4.89233823246934,5,"10"
"184",4,0,1,5,4.8360895401839,5,"10"
"185",5,0,1,5,4.9767112708975,5,"10"
"186",6,0,1,5,4.90171301451691,5,"10"
"187",7,0,1,5,4.86421388632662,5,"10"
"188",8,0,1,5,4.86421388632662,5,"10"
"189",9,0,1,5,4.91108779656449,5,"10"
"190",10,0,1,5,4.95796170680235,5,"10"
"191",1,0,1,10,9.57035447420844,5,"10"
"192",2,0,1,10,9.75785011515991,5,"10"
"193",3,0,1,10,9.6547275126366,5,"10"
"194",4,0,1,10,9.74847533311234,5,"10"
"195",5,0,1,10,9.66410229468418,5,"10"
"196",6,0,1,10,9.68285185877932,5,"10"
"197",7,0,1,10,9.66410229468418,5,"10"
"198",8,0,1,10,9.52348056397058,5,"10"
"199",9,0,1,10,9.60785360239874,5,"10"
"200",10,0,1,10,9.62660316649388,5,"10"
"201",1,1,0,20,19.2170052011614,5,"10"
"202",2,0,1,20,19.095133034543,5,"10"
"203",3,1,0,20,19.1326321627333,5,"10"
"204",4,1,0,20,19.357626931875,5,"10"
"205",5,0,1,20,18.9263869576866,5,"10"
"206",6,1,0,20,19.4326251882556,5,"10"
"207",7,0,1,20,19.2826286754944,5,"10"
"208",8,0,1,20,19.1326321627333,5,"10"
"209",9,1,0,20,18.8888878294964,5,"10"
"210",10,0,1,20,19.0763834704478,5,"10"
"211",1,1,0,40,38.4259336166392,5,"10"
"212",2,1,0,40,38.3134362320683,5,"10"
"213",3,1,0,40,38.2196884115926,5,"10"
"214",4,1,0,40,38.4540579627819,5,"10"
"215",5,0,1,40,38.013443206546,5,"10"
"216",6,1,0,40,38.1353153731644,5,"10"
"217",7,1,0,40,37.7321997451188,5,"10"
"218",8,1,0,40,37.88219625788,5,"10"
"219",9,1,0,40,38.1821892834023,5,"10"
"220",10,1,0,40,38.1821892834023,5,"10"
"221",1,1,0,80,76.7875417553094,5,"10"
"222",2,1,0,80,76.8906643578327,5,"10"
"223",3,1,0,80,76.6094208964055,5,"10"
"224",4,1,0,80,76.4313000375016,5,"10"
"225",5,1,0,80,76.9750373962609,5,"10"
"226",6,1,0,80,76.7031687168812,5,"10"
"227",7,1,0,80,76.6750443707385,5,"10"
"228",8,1,0,80,76.3469269990734,5,"10"
"229",9,1,0,80,76.7594174091667,5,"10"
"230",10,1,0,80,76.1969304863123,5,"10"
"231",1,1,0,100,96.3152127604047,5,"10"
"232",2,1,0,100,96.2402145040241,5,"10"
"233",3,1,0,100,95.9495962605493,5,"10"
"234",4,1,0,100,96.0620936451202,5,"10"
"235",5,1,0,100,95.5371058504561,5,"10"
"236",6,1,0,100,95.6121041068367,5,"10"
"237",7,1,0,100,95.4527328120279,5,"10"
"238",8,1,0,100,95.7339762734551,5,"10"
"239",9,1,0,100,95.5652301965988,5,"10"
"240",10,1,0,100,96.4933336193086,5,"10"
"241",1,0,1,5,4.95796170680235,10,"10"
