"","seed","P_rej","Paccept","param","c_true","param2","param3"
"1",1,0,1,5,4.91075343286803,"srs","1"
"2",2,0,1,5,4.93887777924588,"srs","1"
"3",3,0,1,5,4.93887777924588,"srs","1"
"4",4,0,1,5,4.88262908649019,"srs","1"
"5",5,0,1,5,4.97637690774967,"srs","1"
"6",6,0,1,5,4.97637690774967,"srs","1"
"7",7,0,1,5,4.92950299711993,"srs","1"
"8",8,0,1,5,4.89200386861614,"srs","1"
"9",9,0,1,5,4.90137865074209,"srs","1"
"10",10,0,1,5,4.90137865074209,"srs","1"
"11",1,0,1,10,9.74814100985702,"srs","1"
"12",2,0,1,10,9.76689057410891,"srs","1"
"13",3,0,1,10,9.83251404899055,"srs","1"
"14",4,0,1,10,9.76689057410891,"srs","1"
"15",5,0,1,10,9.79501492048676,"srs","1"
"16",6,0,1,10,9.81376448473865,"srs","1"
"17",7,0,1,10,9.76689057410891,"srs","1"
"18",8,0,1,10,9.83251404899055,"srs","1"
"19",9,0.1,0.9,10,9.76689057410891,"srs","1"
"20",10,0,1,10,9.70126709922728,"srs","1"
"21",1,0.1,0.9,20,19.5260387672204,"srs","1"
"22",2,0.5,0.5,20,19.5541631135983,"srs","1"
"23",3,0.6,0.4,20,19.5635378957242,"srs","1"
"24",4,0.5,0.5,20,19.591662242102,"srs","1"
"25",5,0.4,0.6,20,19.5635378957242,"srs","1"
"26",6,0.6,0.4,20,19.5635378957242,"srs","1"
"27",7,0.4,0.6,20,19.4416657280869,"srs","1"
"28",8,0.6,0.4,20,19.5447883314723,"srs","1"
"29",9,0.3,0.7,20,19.601037024228,"srs","1"
"30",10,0.4,0.6,20,19.5166639850945,"srs","1"
"31",1,1,0,40,38.9787116785618,"srs","1"
"32",2,0.8,0.2,40,38.8849638573023,"srs","1"
"33",3,1,0,40,39.0818342819472,"srs","1"
"34",4,0.9,0.1,40,39.109958628325,"srs","1"
"35",5,1,0,40,39.0068360249396,"srs","1"
"36",6,1,0,40,39.0724594998212,"srs","1"
"37",7,1,0,40,39.0724594998212,"srs","1"
"38",8,0.9,0.1,40,38.941212550058,"srs","1"
"39",9,1,0,40,39.0349603713175,"srs","1"
"40",10,1,0,40,39.0724594998212,"srs","1"
"41",1,1,0,80,78.1278018365191,"srs","1"
"42",2,1,0,80,78.2965479147862,"srs","1"
"43",3,1,0,80,78.33404704329,"srs","1"
"44",4,1,0,80,78.0153044510078,"srs","1"
"45",5,1,0,80,78.0153044510078,"srs","1"
"46",6,1,0,80,78.1090522722672,"srs","1"
"47",7,1,0,80,78.2965479147862,"srs","1"
"48",8,1,0,80,78.155926182897,"srs","1"
"49",9,1,0,80,78.3059226969121,"srs","1"
"50",10,1,0,80,78.1746757471489,"srs","1"
"51",1,1,0,100,97.5148512729789,"srs","1"
"52",2,1,0,100,97.7304712618757,"srs","1"
"53",3,1,0,100,97.6367234406162,"srs","1"
"54",4,1,0,100,97.5804747478605,"srs","1"
"55",5,1,0,100,97.5898495299865,"srs","1"
"56",6,1,0,100,97.664847786994,"srs","1"
"57",7,1,0,100,97.5148512729789,"srs","1"
"58",8,1,0,100,97.4586025802232,"srs","1"
"59",9,1,0,100,97.6554730048681,"srs","1"
"60",10,1,0,100,97.664847786994,"srs","1"
"61",1,0,1,5,4.91075343286803,"strs","1"
"62",2,0,1,5,4.93887777924588,"strs","1"
"63",3,0,1,5,4.93887777924588,"strs","1"
"64",4,0,1,5,4.88262908649019,"strs","1"
"65",5,0,1,5,4.97637690774967,"strs","1"
"66",6,0,1,5,4.97637690774967,"strs","1"
"67",7,0,1,5,4.92950299711993,"strs","1"
"68",8,0,1,5,4.89200386861614,"strs","1"
"69",9,0,1,5,4.90137865074209,"strs","1"
"70",10,0,1,5,4.90137865074209,"strs","1"
"71",1,0,1,10,9.74814100985702,"strs","1"
"72",2,0,1,10,9.76689057410891,"strs","1"
"73",3,0.1,0.9,10,9.83251404899055,"strs","1"
"74",4,0,1,10,9.76689057410891,"strs","1"
"75",5,0,1,10,9.79501492048676,"strs","1"
"76",6,0,1,10,9.81376448473865,"strs","1"
"77",7,0,1,10,9.76689057410891,"strs","1"
"78",8,0,1,10,9.83251404899055,"strs","1"
"79",9,0,1,10,9.76689057410891,"strs","1"
"80",10,0,1,10,9.70126709922728,"strs","1"
"81",1,0.3,0.7,20,19.5260387672204,"strs","1"
"82",2,0.5,0.5,20,19.5541631135983,"strs","1"
"83",3,0.6,0.4,20,19.5635378957242,"strs","1"
"84",4,0.2,0.8,20,19.591662242102,"strs","1"
"85",5,0.3,0.7,20,19.5635378957242,"strs","1"
"86",6,0.2,0.8,20,19.5635378957242,"strs","1"
"87",7,0.4,0.6,20,19.4416657280869,"strs","1"
"88",8,0.2,0.8,20,19.5447883314723,"strs","1"
"89",9,0.4,0.6,20,19.601037024228,"strs","1"
"90",10,0.1,0.9,20,19.5166639850945,"strs","1"
"91",1,1,0,40,38.9787116785618,"strs","1"
"92",2,1,0,40,38.8849638573023,"strs","1"
"93",3,1,0,40,39.0818342819472,"strs","1"
"94",4,1,0,40,39.109958628325,"strs","1"
"95",5,1,0,40,39.0068360249396,"strs","1"
"96",6,1,0,40,39.0724594998212,"strs","1"
"97",7,1,0,40,39.0724594998212,"strs","1"
"98",8,1,0,40,38.941212550058,"strs","1"
